NO,ID,OT,latitude,longitude,DEPTH,MAG,ML,MC,MW,NST,RMS,GAP,lat_e,long_e,dp_e,L,FELT, STRIKE, DIP, RAKE
1,01-0643-19L.S202301,2023-01-01 00:43,  13.854,  -91.280,   5.1,  3.7,  3.7,     ,     ,  16, 0.82, 247,  11.3,   6.0,  10.5, L  ,-,      ,      ,     
2,02-0501-08L.S202301,2023-01-01 23:01,  12.537,  -88.229,   0.0,  3.5,  3.5,     ,     ,   9, 0.94, 206,   6.5,   4.6,  0.0 , L  ,-,      ,      ,     
3,02-0552-22L.S202301,2023-01-01 23:52,  14.213,  -91.240,   0.8,  3.3,     ,  3.3,     ,   9,  0.7, 308,  17.9,  32.1,  18.4, L  ,-,      ,      ,     
4,02-0552-36L.S202301,2023-01-01 23:52,  14.525,  -90.521,   6.1,  2.0,  2.0,     ,     ,   6, 1.23, 130,   6.0,   4.9,  6.3 , L  ,-,      ,      ,     
5,02-1138-36L.S202301,2023-01-02 05:38,  14.083,  -89.713,  13.1,  2.7,     ,  2.7,     ,   6,  0.6, 101,   3.8,   4.1,   6.4, L  ,-,      ,      ,     
6,02-1138-38L.S202301,2023-01-02 05:38,  14.084,  -89.708,   0.8,  2.3,  2.3,     ,     ,   9, 0.10, 68 ,  3.5 ,  3.1 , 5.4  , L  ,-,      ,      ,     
7,02-1414-15L.S202301,2023-01-02 08:14,  13.318,  -90.303,  10.8,  3.0,  3.0,     ,     ,  10, 0.30, 267,  19.6,   8.8,  18.7, L  ,-,      ,      ,     
8,03-0539-04L.S202301,2023-01-02 23:39,  13.590,  -91.010,  10.2,  2.6,  2.6,     ,     ,  19, 0.70, 256,   5.6,   2.8,  7.9 , L  ,-,      ,      ,     
9,03-0851-48L.S202301,2023-01-03 02:51,  13.982,  -91.582,  19.0,  3.2,     ,  3.2,     ,  18,  0.5, 259,  10.6,   3.9,  11.3, L  ,-,      ,      ,     
10,03-0941-19L.S202301,2023-01-03 03:41,  17.093,  -91.610,  16.8,  3.9,     ,  3.9,     ,   7,  0.6, 244,   8.5,   5.0,   8.4, L  ,-,      ,      ,     
