NO,ID,OT,latitude,longitude,DEPTH,MAG,ML,MC,MW,NST,RMS,GAP,lat_e,long_e,dp_e,L,FELT, STRIKE, DIP, RAKE,clasificación
1,01-0643-19L.S202301,2023-01-01 00:43,13.854,-91.28,5.1,3.7,  3.7,     ,     ,16,0.82, 247,  11.3,   6.0,  10.5, L  ,-,      ,      ,     ,cortical
2,01-0643-30L.S202301,2023-01-01 00:43,13.928,-91.248,36.7,3.7,     ,  3.7,     ,9,0.3, 332,   8.6,   9.3,   4.1, L  ,-,      ,      ,     ,subducción interfase
3,01-0802-14L.S202301,2023-01-01 02:02,13.991,-91.22,78.1,3.8,     ,  3.8,     ,10,0.4, 312,  13.2,   9.5,   9.3, L  ,-,      ,      ,     ,subducción intraplaca
4,01-1549-15L.S202301,2023-01-01 09:49,14.565,-91.256,26.2,3.4,     ,  3.4,     ,12,0.3, 159,  14.0,   5.3,   9.8, L  ,-,      ,      ,     ,subducción interfase
5,01-1756-59L.S202301,2023-01-01 11:56,14.243,-91.489,53.7,3.1,     ,  3.1,     ,15,0.5, 257,  19.3,   9.6,  15.3, L  ,-,      ,      ,     ,subducción interfase
6,01-1851-35R.S202301,2023-01-01 12:51,15.043,-93.421,38.8,3.6,     ,  3.6,     ,12,0.6, 265,  13.3,  14.5, 124.1, R  ,-,      ,      ,     ,subducción interfase
7,01-1935-48L.S202301,2023-01-01 13:35,15.09,-92.458,139.9,3.8,     ,  3.8,     ,12,0.2, 347, 167.5, 490.9, 470.8, L  ,-,      ,      ,     ,subducción intraplaca
8,01-1937-12L.S202301,2023-01-01 13:37,15.866,-92.491,222.8,4.6,  4.6,     ,     ,29,0.36, 280,   9.3,  14.7,  19.2, L  ,-,      ,      ,     ,subducción intraplaca
9,01-1937-14L.S202301,2023-01-01 13:37,15.723,-92.219,201.7,4.5,  4.5,  4.8,     ,51,0.6,  84,   7.2,   5.9,  10.1, L  ,-,      ,      ,     ,subducción intraplaca
10,01-2040-39L.S202301,2023-01-01 14:40,13.25,-90.108,44.4,3.4,     ,  3.4,     ,10,0.8, 257,  43.9,  39.3, 373.4, L  ,-,      ,      ,     ,subducción interfase
11,02-0003-50L.S202301,2023-01-01 18:03,14.945,-91.84,80.7,2.9,     ,  2.9,     ,14,0.6, 334,  26.9,  16.2,   7.7, L  ,-,      ,      ,     ,subducción intraplaca
12,02-0233-00L.S202301,2023-01-01 20:33,14.96,-92.095,75.7,3.0,     ,  3.0,     ,7,0.4, 347,  40.4, 105.9,  42.9, L  ,-,      ,      ,     ,subducción intraplaca
13,02-0326-24R.S202301,2023-01-01 21:26,15.169,-94.434,35.7,4.4,     ,  4.4,     ,3,0.3, 314,  38.9,  70.9, 116.0, R  ,-,      ,      ,     ,subducción interfase
14,02-0501-08L.S202301,2023-01-01 23:01,12.537,-88.229,0.0,3.5,  3.5,     ,     ,9,0.94, 206,   6.5,   4.6,  0.0 , L  ,-,      ,      ,     ,cortical
